State Code,District Code,Area Name,Total/ Rural/ Urban,Adolescent and youth categories,Total Population - Persons,Total Population - Males,Total Population - Females,Scheduled Caste - Persons,Scheduled Tribe - Persons,Scheduled Tribe - Males,Illiiterates - Total - Persons,Illiiterates - Total - Males,Illiiterates - Total - Females,Main Worker - Agricultural labourers - Persons
1,1,District - Kupwara (01),Rural,20-24,62591,33731,28860,173,4536,2322,14888,4212,10676,903
1,1,District - Kupwara (01),Rural,Adolescent (10-19),176467,91123,85344,5,15549,8086,28365,10632,17733,549
1,1,District - Kupwara (01),Rural,Youth (15-24),135256,70605,64651,174,10307,5340,26306,7552,18754,1322
1,1,District - Kupwara (01),Urban,All Ages,104729,62152,42577,176,1861,1058,40073,18114,21959,699
1,1,District - Kupwara (01),Urban,10-14,14871,8179,6692,0,281,158,1853,863,990,1
1,1,District - Kupwara (01),Urban,15-19,9184,4999,4185,1,258,175,892,365,527,15
1,1,District - Kupwara (01),Urban,20-24,8101,4774,3327,19,136,73,1128,398,730,53
1,1,District - Kupwara (01),Urban,Adolescent (10-19),24055,13178,10877,1,539,333,2745,1228,1517,16
1,1,District - Kupwara (01),Urban,Youth (15-24),17285,9773,7512,20,394,248,2020,763,1257,68
1,2,District - Badgam (02),Total,All Ages,753745,398041,355704,368,23912,12383,418096,190300,227796,11560
1,2,District - Badgam (02),Total,10-14,94819,49723,45096,4,3818,1967,18102,8305,9797,170
1,2,District - Badgam (02),Total,15-19,75536,38254,37282,4,2287,1192,14136,4915,9221,599
1,2,District - Badgam (02),Total,20-24,64695,33951,30744,67,1310,715,18091,5821,12270,1258
1,2,District - Badgam (02),Total,Adolescent (10-19),170355,87977,82378,8,6105,3159,32238,13220,19018,769
1,2,District - Badgam (02),Total,Youth (15-24),140231,72205,68026,71,3597,1907,32227,10736,21491,1857
1,2,District - Badgam (02),Rural,All Ages,655833,343385,312448,86,23293,12025,377568,172744,204824,10635
1,2,District - Badgam (02),Rural,10-14,85186,44698,40488,1,3775,1955,16967,7749,9218,166
1,2,District - Badgam (02),Rural,15-19,66518,33674,32844,3,2244,1176,13369,4612,8757,570
1,2,District - Badgam (02),Rural,20-24,54796,28237,26559,8,1250,669,16777,5411,11366,1193
1,2,District - Badgam (02),Rural,Adolescent (10-19),151704,78372,73332,4,6019,3131,30336,12361,17975,736
1,2,District - Badgam (02),Rural,Youth (15-24),121314,61911,59403,11,3494,1845,30146,10023,20123,1763
1,2,District - Badgam (02),Urban,All Ages,97912,54656,43256,282,619,358,40528,17556,22972,925
1,2,District - Badgam (02),Urban,10-14,9633,5025,4608,3,43,12,1135,556,579,4
1,2,District - Badgam (02),Urban,15-19,9018,4580,4438,1,43,16,767,303,464,29
1,2,District - Badgam (02),Urban,20-24,9899,5714,4185,59,60,46,1314,410,904,65
1,2,District - Badgam (02),Urban,Adolescent (10-19),18651,9605,9046,4,86,28,1902,859,1043,33
1,2,District - Badgam (02),Urban,Youth (15-24),18917,10294,8623,60,103,62,2081,713,1368,94
1,3,District - Leh(Ladakh) (03),Total,All Ages,133487,78971,54516,488,95857,47543,39717,16137,23580,593
1,3,District - Leh(Ladakh) (03),Total,10-14,10053,5188,4865,10,8840,4522,454,239,215,4
1,3,District - Leh(Ladakh) (03),Total,15-19,10245,5179,5066,12,8975,4471,395,156,239,22
1,3,District - Leh(Ladakh) (03),Total,20-24,14428,9031,5397,100,8864,4188,957,338,619,41
1,3,District - Leh(Ladakh) (03),Total,Adolescent (10-19),20298,10367,9931,22,17815,8993,849,395,454,26
1,3,District - Leh(Ladakh) (03),Total,Youth (15-24),24673,14210,10463,112,17839,8659,1352,494,858,63
1,3,District - Leh(Ladakh) (03),Rural,All Ages,87816,48411,39405,108,73789,36318,31027,12349,18678,462
1,3,District - Leh(Ladakh) (03),Rural,10-14,7212,3706,3506,4,6749,3437,355,182,173,4
1,3,District - Leh(Ladakh) (03),Rural,15-19,7388,3664,3724,6,6934,3413,322,115,207,20
1,3,District - Leh(Ladakh) (03),Rural,20-24,8822,4918,3904,12,6923,3242,751,235,516,34
1,3,District - Leh(Ladakh) (03),Rural,Adolescent (10-19),14600,7370,7230,10,13683,6850,677,297,380,24
1,3,District - Leh(Ladakh) (03),Rural,Youth (15-24),16210,8582,7628,18,13857,6655,1073,350,723,54
1,3,District - Leh(Ladakh) (03),Urban,All Ages,45671,30560,15111,380,22068,11225,8690,3788,4902,131
1,3,District - Leh(Ladakh) (03),Urban,10-14,2841,1482,1359,6,2091,1085,99,57,42,0
1,3,District - Leh(Ladakh) (03),Urban,15-19,2857,1515,1342,6,2041,1058,73,41,32,2
1,3,District - Leh(Ladakh) (03),Urban,20-24,5606,4113,1493,88,1941,946,206,103,103,7
1,3,District - Leh(Ladakh) (03),Urban,Adolescent (10-19),5698,2997,2701,12,4132,2143,172,98,74,2
1,3,District - Leh(Ladakh) (03),Urban,Youth (15-24),8463,5628,2835,94,3982,2004,279,144,135,9
1,4,District - Kargil (04),Total,All Ages,140802,77785,63017,18,122336,62652,54566,21484,33082,524
1,4,District - Kargil (04),Total,10-14,14554,7630,6924,1,13893,7274,921,397,524,9
1,4,District - Kargil (04),Total,15-19,13918,6975,6943,0,13264,6644,1046,219,827,13
1,4,District - Kargil (04),Total,20-24,15109,8212,6897,1,12699,6141,2023,417,1606,42
1,4,District - Kargil (04),Total,Adolescent (10-19),28472,14605,13867,1,27157,13918,1967,616,1351,22
1,4,District - Kargil (04),Total,Youth (15-24),29027,15187,13840,1,25963,12785,3069,636,2433,55
1,4,District - Kargil (04),Rural,All Ages,124464,67703,56761,10,110840,56693,50568,20029,30539,504
1,4,District - Kargil (04),Rural,10-14,13309,6928,6381,1,12762,6635,881,377,504,9
1,4,District - Kargil (04),Rural,15-19,12489,6264,6225,0,11958,5993,996,206,790,13
1,4,District - Kargil (04),Rural,20-24,13256,7044,6212,1,11471,5547,1942,392,1550,42
1,4,District - Kargil (04),Rural,Adolescent (10-19),25798,13192,12606,1,24720,12628,1877,583,1294,22
1,4,District - Kargil (04),Rural,Youth (15-24),25745,13308,12437,1,23429,11540,2938,598,2340,55
1,4,District - Kargil (04),Urban,All Ages,16338,10082,6256,8,11496,5959,3998,1455,2543,20
1,4,District - Kargil (04),Urban,10-14,1245,702,543,0,1131,639,40,20,20,0
1,4,District - Kargil (04),Urban,15-19,1429,711,718,0,1306,651,50,13,37,0
1,4,District - Kargil (04),Urban,20-24,1853,1168,685,0,1228,594,81,25,56,0
1,4,District - Kargil (04),Urban,Adolescent (10-19),2674,1413,1261,0,2437,1290,90,33,57,0
1,4,District - Kargil (04),Urban,Youth (15-24),3282,1879,1403,0,2534,1245,131,38,93,0
1,5,District - Punch (05),Total,All Ages,476835,251899,224936,556,176101,90274,215111,88566,126545,5917
1,5,District - Punch (05),Total,10-14,59990,31410,28580,24,24578,13002,5707,2029,3678,48
1,5,District - Punch (05),Total,15-19,46812,24654,22158,32,17402,9352,6614,1582,5032,258
1,5,District - Punch (05),Total,20-24,40067,20913,19154,55,13988,6816,9751,2313,7438,665
1,5,District - Punch (05),Total,Adolescent (10-19),106802,56064,50738,56,41980,22354,12321,3611,8710,306
1,5,District - Punch (05),Total,Youth (15-24),86879,45567,41312,87,31390,16168,16365,3895,12470,923
1,5,District - Punch (05),Rural,All Ages,438205,229774,208431,278,171011,87542,206664,85058,121606,5596
1,5,District - Punch (05),Rural,10-14,55907,29133,26774,7,23673,12472,5637,2001,3636,46
1,5,District - Punch (05),Rural,15-19,43330,22841,20489,10,16865,9064,6528,1561,4967,244
1,5,District - Punch (05),Rural,20-24,36483,18698,17785,21,13603,6611,9577,2264,7313,630
1,5,District - Punch (05),Rural,Adolescent (10-19),99237,51974,47263,17,40538,21536,12165,3562,8603,290
1,5,District - Punch (05),Rural,Youth (15-24),79813,41539,38274,31,30468,15675,16105,3825,12280,874
1,5,District - Punch (05),Urban,All Ages,38630,22125,16505,278,5090,2732,8447,3508,4939,321
1,5,District - Punch (05),Urban,10-14,4083,2277,1806,17,905,530,70,28,42,2
1,5,District - Punch (05),Urban,15-19,3482,1813,1669,22,537,288,86,21,65,14
1,5,District - Punch (05),Urban,20-24,3584,2215,1369,34,385,205,174,49,125,35
1,5,District - Punch (05),Urban,Adolescent (10-19),7565,4090,3475,39,1442,818,156,49,107,16
1,5,District - Punch (05),Urban,Youth (15-24),7066,4028,3038,56,922,493,260,70,190,49
1,6,District - Rajouri (06),Total,All Ages,642415,345351,297064,48157,232815,121374,278306,120882,157424,6148
1,6,District - Rajouri (06),Total,10-14,75860,39974,35886,5527,31547,16373,8744,3373,5371,149
1,6,District - Rajouri (06),Total,15-19,62417,33566,28851,4936,23354,12677,9154,2888,6266,383
1,6,District - Rajouri (06),Total,20-24,57680,30997,26683,4568,19168,9893,12908,4021,8887,837
1,6,District - Rajouri (06),Total,Adolescent (10-19),138277,73540,64737,10463,54901,29050,17898,6261,11637,532
1,6,District - Rajouri (06),Total,Youth (15-24),120097,64563,55534,9504,42522,22570,22062,6909,15153,1220
1,6,District - Rajouri (06),Rural,All Ages,590101,310748,279353,46141,229692,119658,268891,116635,152256,5941
1,6,District - Rajouri (06),Rural,10-14,72095,37918,34177,5371,31130,16163,8565,3295,5270,149
1,6,District - Rajouri (06),Rural,15-19,58635,31487,27148,4757,22975,12463,8985,2818,6167,371
1,6,District - Rajouri (06),Rural,20-24,51898,26884,25014,4336,18892,9733,12647,3923,8724,821
1,6,District - Rajouri (06),Rural,Adolescent (10-19),130730,69405,61325,10128,54105,28626,17550,6113,11437,520
1,6,District - Rajouri (06),Rural,Youth (15-24),110533,58371,52162,9093,41867,22196,21632,6741,14891,1192
1,6,District - Rajouri (06),Urban,All Ages,52314,34603,17711,2016,3123,1716,9415,4247,5168,207
1,6,District - Rajouri (06),Urban,10-14,3765,2056,1709,156,417,210,179,78,101,0
1,6,District - Rajouri (06),Urban,15-19,3782,2079,1703,179,379,214,169,70,99,12
1,6,District - Rajouri (06),Urban,20-24,5782,4113,1669,232,276,160,261,98,163,16
1,6,District - Rajouri (06),Urban,Adolescent (10-19),7547,4135,3412,335,796,424,348,148,200,12
1,6,District - Rajouri (06),Urban,Youth (15-24),9564,6192,3372,411,655,374,430,168,262,28
1,7,District - Kathua (07),Total,All Ages,616435,326109,290326,141224,53307,27693,227231,97610,129621,10152
1,7,District - Kathua (07),Total,10-14,66061,35924,30137,16010,7161,3721,4992,1867,3125,78
1,7,District - Kathua (07),Total,15-19,60347,32775,27572,15103,5663,2989,5666,1922,3744,452
1,7,District - Kathua (07),Total,20-24,57528,29538,27990,13979,4773,2483,8294,2661,5633,1189
1,7,District - Kathua (07),Total,Adolescent (10-19),126408,68699,57709,31113,12824,6710,10658,3789,6869,530
1,7,District - Kathua (07),Total,Youth (15-24),117875,62313,55562,29082,10436,5472,13960,4583,9377,1641
1,7,District - Kathua (07),Rural,All Ages,526722,278126,248596,119693,52019,27022,206358,88251,118107,9363
1,7,District - Kathua (07),Rural,10-14,57977,31419,26558,13674,7010,3645,4697,1723,2974,71
1,7,District - Kathua (07),Rural,15-19,51948,28035,23913,12655,5512,2905,5361,1766,3595,432
1,7,District - Kathua (07),Rural,20-24,48897,25066,23831,11732,4651,2421,7821,2472,5349,1126
1,7,District - Kathua (07),Rural,Adolescent (10-19),109925,59454,50471,26329,12522,6550,10058,3489,6569,503
1,7,District - Kathua (07),Rural,Youth (15-24),100845,53101,47744,24387,10163,5326,13182,4238,8944,1558
1,7,District - Kathua (07),Urban,All Ages,89713,47983,41730,21531,1288,671,20873,9359,11514,789
1,7,District - Kathua (07),Urban,10-14,8084,4505,3579,2336,151,76,295,144,151,7
1,7,District - Kathua (07),Urban,15-19,8399,4740,3659,2448,151,84,305,156,149,20
1,7,District - Kathua (07),Urban,20-24,8631,4472,4159,2247,122,62,473,189,284,63
1,7,District - Kathua (07),Urban,Adolescent (10-19),16483,9245,7238,4784,302,160,600,300,300,27
1,7,District - Kathua (07),Urban,Youth (15-24),17030,9212,7818,4695,273,146,778,345,433,83
1,8,District - Baramula (08),Total,All Ages,1008039,534733,473306,1476,37705,20237,462890,197563,265327,19159
1,8,District - Baramula (08),Total,10-14,117753,60849,56904,11,4704,2402,12618,5074,7544,191
1,8,District - Baramula (08),Total,15-19,106269,53309,52960,7,3595,1954,13399,3941,9458,858
1,8,District - Baramula (08),Total,20-24,94755,49821,44934,165,2818,1540,19643,5601,14042,1829
1,8,District - Baramula (08),Total,Adolescent (10-19),224022,114158,109864,18,8299,4356,26017,9015,17002,1049
1,8,District - Baramula (08),Total,Youth (15-24),201024,103130,97894,172,6413,3494,33042,9542,23500,2687
1,8,District - Baramula (08),Rural,All Ages,825539,432399,393140,323,36169,19147,402346,171519,230827,17784
1,8,District - Baramula (08),Rural,10-14,101359,52467,48892,3,4584,2345,10975,4252,6723,184
1,8,District - Baramula (08),Rural,15-19,89303,44788,44515,4,3491,1897,12057,3326,8731,816
1,8,District - Baramula (08),Rural,20-24,75914,39078,36836,29,2606,1369,17630,4860,12770,1709
1,8,District - Baramula (08),Rural,Adolescent (10-19),190662,97255,93407,7,8075,4242,23032,7578,15454,1000
1,8,District - Baramula (08),Rural,Youth (15-24),165217,83866,81351,33,6097,3266,29687,8186,21501,2525
1,8,District - Baramula (08),Urban,All Ages,182500,102334,80166,1153,1536,1090,60544,26044,34500,1375
1,8,District - Baramula (08),Urban,10-14,16394,8382,8012,8,120,57,1643,822,821,7
1,8,District - Baramula (08),Urban,15-19,16966,8521,8445,3,104,57,1342,615,727,42
1,8,District - Baramula (08),Urban,20-24,18841,10743,8098,136,212,171,2013,741,1272,120
1,8,District - Baramula (08),Urban,Adolescent (10-19),33360,16903,16457,11,224,114,2985,1437,1548,49
1,8,District - Baramula (08),Urban,Youth (15-24),35807,19264,16543,139,316,228,3355,1356,1999,162
1,9,District - Bandipore (09),Total,All Ages,392232,207680,184552,392,75374,39398,206253,90622,115631,9423
1,9,District - Bandipore (09),Total,10-14,49106,25767,23339,6,10314,5379,9103,3746,5357,344
1,9,District - Bandipore (09),Total,15-19,44926,22798,22128,3,7676,3971,10616,3496,7120,761
1,9,District - Bandipore (09),Total,20-24,37627,19637,17990,36,5994,3096,12763,4349,8414,1137
1,9,District - Bandipore (09),Total,Adolescent (10-19),94032,48565,45467,9,17990,9350,19719,7242,12477,1105
1,9,District - Bandipore (09),Total,Youth (15-24),82553,42435,40118,39,13670,7067,23379,7845,15534,1898
1,9,District - Bandipore (09),Rural,All Ages,326871,172263,154608,105,74515,38899,178684,79030,99654,8584
1,9,District - Bandipore (09),Rural,10-14,41594,21591,20003,0,10254,5346,8211,3362,4849,337
1,9,District - Bandipore (09),Rural,15-19,37502,18966,18536,1,7588,3930,9463,3104,6359,721
1,9,District - Bandipore (09),Rural,20-24,30859,16042,14817,11,5901,3046,11151,3823,7328,1068
1,9,District - Bandipore (09),Rural,Adolescent (10-19),79096,40557,38539,1,17842,9276,17674,6466,11208,1058
1,9,District - Bandipore (09),Rural,Youth (15-24),68361,35008,33353,12,13489,6976,20614,6927,13687,1789
1,9,District - Bandipore (09),Urban,All Ages,65361,35417,29944,287,859,499,27569,11592,15977,839
1,9,District - Bandipore (09),Urban,10-14,7512,4176,3336,6,60,33,892,384,508,7
1,9,District - Bandipore (09),Urban,15-19,7424,3832,3592,2,88,41,1153,392,761,40
1,9,District - Bandipore (09),Urban,20-24,6768,3595,3173,25,93,50,1612,526,1086,69
1,9,District - Bandipore (09),Urban,Adolescent (10-19),14936,8008,6928,8,148,74,2045,776,1269,47
1,9,District - Bandipore (09),Urban,Youth (15-24),14192,7427,6765,27,181,91,2765,918,1847,109
1,10,District - Srinagar (10),Total,All Ages,1236829,651124,585705,1068,8935,5021,488245,219378,268867,6513
1,10,District - Srinagar (10),Total,10-14,112683,58784,53899,7,1157,664,12322,5991,6331,78
1,10,District - Srinagar (10),Total,15-19,117071,59947,57124,16,1065,551,13671,6064,7607,339
1,10,District - Srinagar (10),Total,20-24,121447,63034,58413,76,787,449,20353,8256,12097,693
1,10,District - Srinagar (10),Total,Adolescent (10-19),229754,118731,111023,23,2222,1215,25993,12055,13938,417
1,10,District - Srinagar (10),Total,Youth (15-24),238518,122981,115537,92,1852,1000,34024,14320,19704,1032
1,10,District - Srinagar (10),Rural,All Ages,17313,8916,8397,0,3104,1637,9385,4104,5281,270
1,10,District - Srinagar (10),Rural,10-14,1920,1010,910,0,459,256,185,68,117,2
1,10,District - Srinagar (10),Rural,15-19,2081,1036,1045,0,381,195,394,133,261,7
1,10,District - Srinagar (10),Rural,20-24,1743,908,835,0,219,110,577,193,384,23
1,10,District - Srinagar (10),Rural,Adolescent (10-19),4001,2046,1955,0,840,451,579,201,378,9
1,10,District - Srinagar (10),Rural,Youth (15-24),3824,1944,1880,0,600,305,971,326,645,30
1,10,District - Srinagar (10),Urban,All Ages,1219516,642208,577308,1068,5831,3384,478860,215274,263586,6243
1,10,District - Srinagar (10),Urban,10-14,110763,57774,52989,7,698,408,12137,5923,6214,76
1,10,District - Srinagar (10),Urban,15-19,114990,58911,56079,16,684,356,13277,5931,7346,332
1,10,District - Srinagar (10),Urban,20-24,119704,62126,57578,76,568,339,19776,8063,11713,670
1,10,District - Srinagar (10),Urban,Adolescent (10-19),225753,116685,109068,23,1382,764,25414,11854,13560,408
1,10,District - Srinagar (10),Urban,Youth (15-24),234694,121037,113657,92,1252,695,33053,13994,19059,1002
1,11,District - Ganderbal (11),Total,All Ages,297446,158720,138726,117,61070,32554,154170,68139,86031,5539
